"Country","Region","Infant.Mortality.per.1000.live.births","Life.Expectancy","Maternal.Mortality.per.100000.live.births"
"Afghanistan","South Asia",101.3,54.4,521
"Albania","Europe",10.3,79.9,7
"Algeria","Africa",18.7,77.9,62
"American Samoa","Australia and Oceania",9.7,75.8,NA
"Andorra","Europe",3.3,83.8,11
"Angola","Africa",55.6,62.9,183
"Anguilla","Central America and the Caribbean",3,82.6,NA
"Antigua and Barbuda","Central America and the Caribbean",13.6,78.3,35
"Argentina","South America",9,78.8,33
"Armenia","Central Asia",11.6,76.7,19
"Aruba","Central America and the Caribbean",11.5,78.5,NA
"Australia","Australia and Oceania",2.9,83.5,2
"Austria","Europe",3.2,82.7,6
"Azerbaijan","Central Asia",10.9,75.9,18
"Bahamas, The","Central America and the Caribbean",9.4,76.7,76
"Bahrain","Middle East",9.7,80.4,17
"Bangladesh","South Asia",28.8,75.2,115
"Barbados","Central America and the Caribbean",9.6,79,35
"Belarus","Europe",2.1,74.7,1
"Belgium","Europe",3.1,82.3,4
"Belize","Central America and the Caribbean",11.3,74.3,67
"Benin","Africa",52.9,63,518
"Bermuda","North America",2.1,82.5,NA
"Bhutan","South Asia",24.3,73.7,47
"Bolivia","South America",22.3,72.5,146
"Bosnia and Herzegovina","Europe",5,78.5,6
"Botswana","Africa",23.7,66.4,155
"Brazil","South America",12.9,76.3,67
"British Virgin Islands","Central America and the Caribbean",13.4,80.1,NA
"Brunei","East and Southeast Asia",10,78.9,36
"Bulgaria","Europe",7.7,76.1,6
"Burkina Faso","Africa",47,64.2,242
"Burma","East and Southeast Asia",32.1,70.3,185
"Burundi","Africa",35.7,68.1,392
"Cabo Verde","Africa",22.4,74.3,40
"Cambodia","East and Southeast Asia",27.9,71.4,137
"Cameroon","Africa",46.1,64.2,258
"Canada","North America",4.3,84.2,12
"Cayman Islands","Central America and the Caribbean",7.3,82.5,NA
"Central African Republic","Africa",80.5,56.4,692
"Chad","Africa",62.5,60,748
"Chile","South America",6.3,80.3,10
"China","East and Southeast Asia",6.2,78.7,16
"Colombia","South America",11.7,74.9,59
"Comoros","Africa",54.9,67.8,179
"Congo, Democratic Republic of the","Africa",57.4,62.6,427
"Congo, Republic of the","Africa",30.6,72.9,241
"Cook Islands","Australia and Oceania",15.1,77.6,0
"Costa Rica","Central America and the Caribbean",6.7,80.3,24
"Cote d'Ivoire","Africa",52.5,63.2,359
"Croatia","Europe",8.4,77.7,3
"Cuba","Central America and the Caribbean",4,80.1,35
"Curacao","Central America and the Caribbean",7.5,79.9,NA
"Cyprus","Europe",8.1,80.2,14
"Czechia","Europe",2.6,78.6,3
"Denmark","Europe",3,82.1,4
"Djibouti","Africa",45.2,65.9,162
"Dominica","Central America and the Caribbean",10.7,78.7,36
"Dominican Republic","Central America and the Caribbean",21.7,72.6,124
"Ecuador","South America",11.2,74.9,55
"Egypt","Africa",16.8,75,17
"El Salvador","Central America and the Caribbean",11.7,75.9,39
"Equatorial Guinea","Africa",77.4,63.9,174
"Eritrea","Africa",39.8,67.5,291
"Estonia","Europe",3.3,78.4,5
"Eswatini","Africa",36.7,60.7,118
"Ethiopia","Africa",32.6,67.7,195
"Faroe Islands","Europe",5.7,81.7,NA
"Fiji","Australia and Oceania",9.7,74.8,30
"Finland","Europe",2.1,82.2,8
"France","Europe",3.1,82.6,7
"French Polynesia","Australia and Oceania",4.3,78.9,NA
"Gabon","Africa",26.9,70.4,233
"Gambia, The","Africa",35.7,68.4,354
"Gaza Strip","Middle East",15.1,75.5,16
"Georgia","Central Asia",21.7,72.8,20
"Germany","Europe",3.1,81.9,4
"Ghana","Africa",31.2,70.1,234
"Gibraltar","Europe",6,80.9,NA
"Greece","Europe",3.4,81.9,5
"Greenland","North America",8.5,74.5,NA
"Grenada","Central America and the Caribbean",9,76.3,48
"Guam","Australia and Oceania",10.9,78,NA
"Guatemala","Central America and the Caribbean",25,73.5,94
"Guernsey","Europe",3.3,83.6,NA
"Guinea","Africa",47,64.6,494
"Guinea-Bissau","Africa",46.4,64.5,505
"Guyana","South America",21.1,72.4,75
"Haiti","Central America and the Caribbean",36.8,65.6,328
"Honduras","Central America and the Caribbean",15.4,73.1,47
"Hong Kong","East and Southeast Asia",2.5,84,NA
"Hungary","Europe",4.7,76,12
"Iceland","Europe",1.6,84,3
"India","South Asia",30.4,68.2,80
"Indonesia","East and Southeast Asia",18.9,73.6,140
"Iran","Middle East",14.3,75.6,16
"Iraq","Middle East",18.7,73.7,66
"Ireland","Europe",3.3,82,4
"Isle of Man","Europe",4.1,82.5,NA
"Israel","Middle East",2.8,83.1,2
"Italy","Europe",3.1,83,6
"Jamaica","Central America and the Caribbean",10.7,76.3,130
"Japan","East and Southeast Asia",1.9,85.2,3
"Jersey","Europe",3.7,83,NA
"Jordan","Middle East",13.2,76.5,31
"Kazakhstan","Central Asia",8,73.3,10
"Kenya","Africa",26.1,70.4,379
"Kiribati","Australia and Oceania",31.5,68.5,80
"Korea, North","East and Southeast Asia",15.4,73.5,67
"Korea, South","East and Southeast Asia",2.8,83.4,4
"Kosovo","Europe",22.9,73.1,NA
"Kuwait","Middle East",7.2,79.6,8
"Kyrgyzstan","Central Asia",24.5,72.9,42
"Laos","East and Southeast Asia",35.4,69,112
"Latvia","Europe",4.7,76.4,19
"Lebanon","Middle East",6.7,79.2,15
"Lesotho","Africa",45.7,60.2,478
"Liberia","Africa",55.7,61.6,628
"Libya","Africa",10.7,77.7,59
"Liechtenstein","Europe",3.9,83,NA
"Lithuania","Europe",3.6,76.1,8
"Luxembourg","Europe",3.2,83.4,12
"Macau","East and Southeast Asia",4.4,85.3,NA
"Madagascar","Africa",37.5,68.8,445
"Malawi","Africa",31.9,73,225
"Malaysia","East and Southeast Asia",6.4,76.6,26
"Maldives","South Asia",24.4,77.4,32
"Mali","Africa",57.4,63.2,367
"Malta","Europe",4.4,83.6,8
"Marshall Islands","Australia and Oceania",20.6,75.2,155
"Mauritania","Africa",48.9,65.9,381
"Mauritius","Africa",11.6,75.4,66
"Mexico","North America",12.1,74.6,42
"Micronesia, Federated States of","Australia and Oceania",20.9,75,129
"Moldova","Europe",13.8,70.1,19
"Monaco","Europe",1.7,89.8,5
"Mongolia","East and Southeast Asia",19.4,71.9,41
"Montenegro","Europe",3.2,78.2,6
"Montserrat","Central America and the Caribbean",9.7,76.1,NA
"Morocco","Africa",18.3,74.2,70
"Mozambique","Africa",58.2,58.3,82
"Namibia","Africa",27.9,65.9,139
"Nauru","Australia and Oceania",7.6,68.6,273
"Nepal","South Asia",24,73,142
"Netherlands","Europe",3.6,81.9,4
"New Caledonia","Australia and Oceania",4.8,79.3,NA
"New Zealand","Australia and Oceania",3.3,82.9,7
"Nicaragua","Central America and the Caribbean",14.4,74.7,60
"Niger","Africa",64.3,60.9,350
"Nigeria","Africa",53.7,62.2,993
"North Macedonia","Europe",7,77.3,3
"Northern Mariana Islands","Australia and Oceania",11.9,77.1,NA
"Norway","Europe",1.8,82.9,1
"Oman","Middle East",13.9,77.4,13
"Pakistan","South Asia",51.5,70.3,155
"Palau","Australia and Oceania",10.8,75.2,89
"Panama","Central America and the Caribbean",14.2,79.2,37
"Papua New Guinea","East and Southeast Asia",32,70.1,189
"Paraguay","South America",22,78.8,58
"Peru","South America",10.8,68.9,51
"Philippines","East and Southeast Asia",22,70.8,84
"Poland","Europe",4.9,76.7,2
"Portugal","Europe",2.4,81.9,15
"Puerto Rico","Central America and the Caribbean",5.8,82.1,11
"Qatar","Middle East",6.4,80.3,4
"Romania","Europe",5.5,76.9,12
"Russia","Central Asia",6.5,72.3,9
"Rwanda","Africa",24.9,66.6,229
"Saint Barthelemy","Central America and the Caribbean",6.5,81,NA
"Saint Helena, Ascension, and Tristan da Cunha","Africa",18.1,80.9,NA
"Saint Kitts and Nevis","Central America and the Caribbean",8,77.6,74
"Saint Lucia","Central America and the Caribbean",11.5,79.4,44
"Saint Martin","Central America and the Caribbean",6.5,81,NA
"Saint Pierre and Miquelon","North America",7.8,81.8,NA
"Saint Vincent and the Grenadines","Central America and the Caribbean",12.3,77.2,56
"Samoa","Australia and Oceania",17.3,75.7,101
"San Marino","Europe",6.2,84.2,8
"Sao Tome and Principe","Africa",42.6,67.7,75
"Saudi Arabia","Middle East",11.7,77.2,7
"Senegal","Africa",31.1,70.6,237
"Serbia","Europe",4.5,75.3,11
"Seychelles","Africa",10.2,76.6,42
"Sierra Leone","Africa",71.2,59.4,354
"Singapore","East and Southeast Asia",1.5,86.7,6
"Sint Maarten","Central America and the Caribbean",7.6,79.7,NA
